Table A - DAMAGE_TYPE_INT,Table B - Slayer/Creature Type,TABLE M - ALL SKILLS,Table U - TOLERANCE_INT,Table W - DEFAULT_COMBAT_STYLE_INT,Table AD - TRANSFER_FROM/TO_ATTRIBUTE_INT,Table AR - Death Treasure (Uniques),Table AN - RESISTANCE_MODIFIER_TYPE_INT,Table AM - HOOK_TYPE_INT,Table AI - ICON_UNDERLAY_DID,Table AC - HERITAGE_GROUP_INT,Table Z - BOOSTER_ENUM_INT,Table E - WEAPON_TYPE_INT,Table I - IMBUED_EFFECT_INT,Table  J - WIELD_REQUIREMENTS_INT,Table K - Attributes,Table K - Attributes,Table L - Vitals,Table O - Armor Type,Table P - AMMO_TYPE_INT,Table C - ACTIVATION_RESPONSE_INT,Table AF: MATERIAL_TYPE_INT,Table AA - RADARBLIP_COLOR_INT,Table Y - LOCKPICK_MOD_INT,Table G - COMBAT_USE_INT,Table H - UI_EFFECTS_INT,Table F - ATTACK_TYPE_INT,TABLE AQ - FRIEND_TYPE_INT,Table AL - PLAYER_KILLER_STATUS_INT,Table AK - COMBAT_MODE_INT,Table N - ITEM_TYPE_INT,Table T - BONDED_INT,Table AB - PORTAL_BITMASK_INT,Table AG - SHOWABLE_ON_RADAR_INT,Table AH - SKILL_ADVANCEMENT_CLASS,Table AJ - CURRENT_ATTACK_HEIGHT_INT,Table AP - HOOK_GROUP_INT,Table V  - TARGETING_TACTIC_INT,Table Q - ITEM_USEABLE_INT,Table S - LOCATIONS_INT,Table R - CLOTHING_PRIORITY_INT,,Table AO - CHARACTER_TITLE_ID_INT,,Table AE - EQUIPMENT_SET_ID_INT,PALETTE_ENTRY_INT Lookup Table,,,,All hex enums are converted to decimal (Weenie type),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,ID_CharacterTitle_Darktides_Most_Wanted,Darktides Most Wanted,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,ID_CharacterTitle_Dead_Meat,Dead Meat,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,ID_CharacterTitle_Deadly_Eggburt,Deadly Eggburt,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,ID_CharacterTitle_Death_by_Default,Death by Default,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,ID_CharacterTitle_Death_by_Pumpkin,Death by Pumpkin,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,ID_CharacterTitle_Death_by_Sappho,Death by Sappho,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,ID_CharacterTitle_Death_Specialist,Death Specialist,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,ID_CharacterTitle_Defender_of_Mr__P,Defender of Mr. P,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,ID_CharacterTitle_Dereths_Gladiator,Dereth's Gladiator,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,ID_CharacterTitle_Dereths_Master_Dodger,Dereth's Master Dodger,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,ID_CharacterTitle_Dev_Evader,Dev Evader,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,ID_CharacterTitle_Dev_Killer,Dev Killer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,ID_CharacterTitle_Dev_Slayer,Dev Slayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,ID_CharacterTitle_Double_Fashion_King,Double Fashion King,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,ID_CharacterTitle_Double_Golem_Killer,Double Golem Killer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,ID_CharacterTitle_Double_Survival_Champion,Double Survival Champion,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,ID_CharacterTitle_Dude_of_DOOM,Dude of DOOM!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,ID_CharacterTitle_Ecto_Cooler,Ecto Cooler,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,ID_CharacterTitle_Ecto_Cooler_two,Ecto-Cooler,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,ID_CharacterTitle_Envoy_Slayer,Envoy Slayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,ID_CharacterTitle_Escapee_Killer,Escapee Killer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,ID_CharacterTitle_Evil_Toothfairy,Evil Toothfairy,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,ID_CharacterTitle_Fancy_Title,Fancy Title,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,ID_CharacterTitle_Fashion_King,Fashion King,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,ID_CharacterTitle_Fashion_Penguin_King,Fashion Penguin King,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,ID_CharacterTitle_Fashion_Queen,Fashion Queen,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,ID_CharacterTitle_Fashion_Victim,Fashion Victim,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,ID_CharacterTitle_Fearless_Fighter,Fearless Fighter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,ID_CharacterTitle_Flag_Boy,Flag Boy,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,ID_CharacterTitle_Frelorn_Slayer,Frelorn Slayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,ID_CharacterTitle_Friend_to_Mr__P,Friend to Mr. P,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,ID_CharacterTitle_Gangsta_Style,Gangsta Style,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,ID_CharacterTitle_Gangster,Gangster,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,ID_CharacterTitle_Ghostbuster,Ghostbuster,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,ID_CharacterTitle_Gimp,Gimp,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,ID_CharacterTitle_Gimp_Goddess,Gimp Goddess,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,ID_CharacterTitle_Gimpy_Mage_of_Might,Gimpy Mage of Might,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,ID_CharacterTitle_Gladiator_Champion,Gladiator Champion,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,ID_CharacterTitle_Glowing_Archer,Glowing Archer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,ID_CharacterTitle_God_of_the_Swordsman,God of the Swordsman,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,ID_CharacterTitle_Golem_Killer,Golem Killer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,ID_CharacterTitle_Golem_Slayer,Golem Slayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,ID_CharacterTitle_Great_Pookie_Slayer,Great Pookie Slayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,ID_CharacterTitle_Guardian_Angel,Guardian Angel,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,ID_CharacterTitle_Guardian_of_Arwic,Guardian of Arwic,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,ID_CharacterTitle_Hamster_Herder,Hamster Herder,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,ID_CharacterTitle_Hamster_Vitae,Hamster Vitae,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,ID_CharacterTitle_Have_Bunnies_Will_Travel,Have Bunnie's Will Travel,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,ID_CharacterTitle_Have_Trike_Will_Babble,Have Trike Will Babble,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,ID_CharacterTitle_Hide_and_Seek_Specialist,Hide and Seek Specialist,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,ID_CharacterTitle_Hollywood_Bud,Hollywood Bud,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,ID_CharacterTitle_Holtburg_Survival_Champion,Holtburg Survival Champion,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,ID_CharacterTitle_Holtburgs_Survivor_Champion,Holtburg's Survivor Champion,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,ID_CharacterTitle_Honorary_Pink_Eep,Honorary Pink Eep,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,ID_CharacterTitle_Hungry_Hungry_Hippo,Hungry Hungry Hippo,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,ID_CharacterTitle_Husband_of_Lynnie,Husband of Lynnie,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,ID_CharacterTitle_Husbands_Healer,Husbands Healer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,ID_CharacterTitle_I_am_Big_PIMPIN,I am Big \[\]D \[\] \[\]\\/\[\] \[\]D \[\] \[\]\\\[\],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,ID_CharacterTitle_I_liked_dying,I liked dying!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,ID_CharacterTitle_Jessica_Heart,Jessica <3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,ID_CharacterTitle_King_of_all_that_is_Pumpkin,King of all that is Pumpkin,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,ID_CharacterTitle_King_of_Caul,King of Caul,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,ID_CharacterTitle_King_of_Darktide,King of Darktide,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,ID_CharacterTitle_King_of_Pierce_Diggys,King of Pierce Diggys,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,ID_CharacterTitle_Knight_Rider,Knight Rider,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,ID_CharacterTitle_Lady_of_the_Four_Towers,Lady of the Four Towers,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,ID_CharacterTitle_Lange_Gang,Lange Gang,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,ID_CharacterTitle_Level_Master,Level Master,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,ID_CharacterTitle_Leviathan,Leviathan,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,ID_CharacterTitle_Leviathan_Slayer,Leviathan Slayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,ID_CharacterTitle_Libe_Events_Manager,Libe Events Manager,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,ID_CharacterTitle_Life_Preserver,Life Preserver,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,ID_CharacterTitle_Live_Event_Coordinator,Live Event Coordinator,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,ID_CharacterTitle_Live_Events_Manager,Live Events Manager,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,ID_CharacterTitle_Live_Op_Coordinator,Live Op Coordinator,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,ID_CharacterTitle_Lore_Second_Place,Lore- 2nd Place,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,ID_CharacterTitle_Lore_Second_Place_Quiz_Night,Lore 2nd Place Quiz Night,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,ID_CharacterTitle_Lore_Champion___Quiz_Night,Lore Champion - Quiz Night,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,ID_CharacterTitle_Lore_Champion_Quiz_Night,Lore Champion Quiz Night,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,ID_CharacterTitle_Lore_Master,Lore Master,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,ID_CharacterTitle_Lore_Master_Quiz_Night,{{keepspaces}}Lore Master Quiz Night,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,ID_CharacterTitle_Lore_Master__Quiz_Night,Lore Master - Quiz Night,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,ID_CharacterTitle_Lore_Master_Second_Place,Lore Master 2nd Place,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,ID_CharacterTitle_Lore_Master_of_Staves,Lore Master of Staves,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,ID_CharacterTitle_Lots_of_Vitae,Lots of Vitae,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,ID_CharacterTitle_Lucky_Lady,Lucky Lady,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,ID_CharacterTitle_Mad_Cow_Slayer,Mad Cow Slayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,ID_CharacterTitle_Mages_Assitant,Mages Assitant,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,ID_CharacterTitle_Master_Tinkerer,Master Tinkerer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,ID_CharacterTitle_Mayor_of_Ayan_Baqur,Mayor of Ayan Baqur,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,ID_CharacterTitle_Minty_Fresh,Minty Fresh,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,ID_CharacterTitle_Misunderstood_Pengy,Misunderstood Pengy,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,ID_CharacterTitle_Mom,Mom,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,ID_CharacterTitle_Mommy_Pengy,Mommy Pengy,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,ID_CharacterTitle_Mosswart_Ally,Mosswart Ally,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,ID_CharacterTitle_Mr_Nice_Guy,Mr. Nice Guy,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,ID_CharacterTitle_Murderer,Murderer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,ID_CharacterTitle_Murderer_two,Murderer !,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305,ID_CharacterTitle_Newby_Title,Newby Title,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,ID_CharacterTitle_Nice_Blue_Lady,Nice Blue Lady,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,ID_CharacterTitle_Number_one_draft_pick,Number one draft pick,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,ID_CharacterTitle_Old_School,Old School,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309,ID_CharacterTitle_Paradox_Slayer,Paradox Slayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,ID_CharacterTitle_Patron_Saint_of_the_Lifestone,Patron Saint of the Lifestone,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,ID_CharacterTitle_Peacebear,Peacebear,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,ID_CharacterTitle_Penguin_Killer,Penguin Killer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,ID_CharacterTitle_Pig_Farmer,Pig Farmer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,ID_CharacterTitle_Pink_Bunny_Killer,Pink Bunny Killer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,ID_CharacterTitle_Pink_Bunny_Master,Pink Bunny Master,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,ID_CharacterTitle_Pink_Goddess,Pink Goddess,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,ID_CharacterTitle_Pink_Lady,Pink Lady,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318,ID_CharacterTitle_PK_Queen,PK Queen,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,ID_CharacterTitle_Playa_Killa_King,Playa Killa King,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,ID_CharacterTitle_Pokemon_Slayer,Pokemon Slayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,ID_CharacterTitle_Pretty_Pumpkin,Pretty Pumpkin,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,ID_CharacterTitle_Prisoner,Prisoner,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323,ID_CharacterTitle_Protector_of_the_Cheese,Protector of the Cheese,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,ID_CharacterTitle_Proton_Pack,Proton Pack,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,ID_CharacterTitle_Pumpkin_Slayer,Pumpkin Slayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,ID_CharacterTitle_Pumpkin_Stalker,Pumpkin Stalker,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,ID_CharacterTitle_Purple_Pengy,Purple Pengy,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,ID_CharacterTitle_Pwner_of_Newbs,Pwner of Newbs,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,ID_CharacterTitle_Queen_of_Brats,Queen of Brats,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,ID_CharacterTitle_Queens_Crafter,Queens Crafter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,ID_CharacterTitle_Queens_Crafter_two,Queen's Crafter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,ID_CharacterTitle_Queens_Pack_Rat,Queen's Pack Rat,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,ID_CharacterTitle_Queens_Packrat,Queen's Packrat,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,ID_CharacterTitle_Queens_Tinker,Queen's Tinker,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,ID_CharacterTitle_Rawr,Rawr!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,ID_CharacterTitle_Raynes_Mage_Pet,Rayne's Mage Pet,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,ID_CharacterTitle_Reggae_Renegade,Reggae Renegade,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,ID_CharacterTitle_Ring_Bearer,Ring Bearer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,ID_CharacterTitle_Ring_ring_ring_Bananaphone,Ring ring ring.....Bananaphone,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,ID_CharacterTitle_Road_Kill,Road Kill,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,ID_CharacterTitle_Rolling_Death_Destroyer,Rolling Death Destroyer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,ID_CharacterTitle_Royal_Chef,Royal Chef,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343,ID_CharacterTitle_Royal_Cook,Royal Cook,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,ID_CharacterTitle_Rugged,Rugged,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,ID_CharacterTitle_Sanitation_Engineer,Sanitation Engineer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,ID_CharacterTitle_Scarecrow_Slayer,Scarecrow Slayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,ID_CharacterTitle_Scary_Pumkpkin_Dominator,Scary Pumkpkin Dominator,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,ID_CharacterTitle_Scary_Pumpkin_Slayer,Scary Pumpkin Slayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,ID_CharacterTitle_Sentinal,Sentinal,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,ID_CharacterTitle_Sentry,Sentry,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,ID_CharacterTitle_Shadow_Child,Shadow Child,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,ID_CharacterTitle_Shadow_Hunter,Shadow Hunter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,ID_CharacterTitle_Shadow_Slayer,Shadow Slayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,ID_CharacterTitle_Slayer_of_the_Great_Pookie,Slayer of the Great Pookie,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,ID_CharacterTitle_Slimer,Slimer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,ID_CharacterTitle_Snazzy_Dresser,Snazzy Dresser,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,ID_CharacterTitle_Soul_Man,Soul Man,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,ID_CharacterTitle_Spooky_Title,Spooky Title,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,ID_CharacterTitle_Staff_Masta,Staff Masta,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,ID_CharacterTitle_Staypuffed_Mallow_Girl,Staypuffed Mallow Girl,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,ID_CharacterTitle_Super_Gimped_Adventurer,Super Gimped Adventurer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,ID_CharacterTitle_Supercalifragilisticexpialidocious,Supercalifragilisticexpialidocious,,,,,,,,,,
